,Trial,Similarity_Threshold,Similarity_Function,Validation_Accuracy,Testing Accuracy,F1_weighted_score,F1_micro_score
0,0,0.005,cosine,0.9944633841514587,0.994448721408844,0.9946664205945959,0.994448700125779
1,1,0.005,euclidean,0.9926050901412964,0.9924437999725342,0.9928352383442446,0.9924438013637095
2,2,0.005,linear,0.9926242232322693,0.9926707744598389,0.9926367522233716,0.9926707710348871
3,3,0.005,manhattan,0.9937545657157898,0.9936448335647583,0.9939153107651775,0.9936448492070247
4,4,0.05,cosine,0.994731605052948,0.9946189522743225,0.9947965713030713,0.9946189273791622
5,5,0.05,euclidean,0.9955170750617981,0.9953376650810242,0.9953160243175769,0.995337664671225
6,6,0.05,linear,0.9945687651634216,0.9945148825645447,0.9947243053717654,0.9945148996132058
7,7,0.05,manhattan,0.9944825768470764,0.9945622086524963,0.994758700865761,0.9945621849613678
8,8,0.1,cosine,0.9945113062858582,0.9944676160812378,0.9946805245639638,0.9944676142650438
9,9,0.1,euclidean,0.9940323233604431,0.9939852952957153,0.9942391013403299,0.9939853037137912
10,10,0.1,linear,0.993237316608429,0.9931530952453613,0.9934778864792874,0.9931530815861397
11,11,0.1,manhattan,0.9949998259544373,0.9950539469718933,0.9951563639107726,0.9950539525822528
12,12,0.3,cosine,0.995631992816925,0.9955551624298096,0.9955788982330234,0.9955551772727702
13,13,0.3,euclidean,0.9948944449424744,0.9949120879173279,0.9950272322287089,0.9949120965377668
14,14,0.3,linear,0.9946070909500122,0.9945716261863708,0.9947802156081055,0.9945716420310002
15,15,0.3,manhattan,0.9947028756141663,0.9946094751358032,0.9947877658695722,0.9946094703095298
16,16,0.5,cosine,0.9950956106185913,0.9951769113540649,0.9952841250412036,0.9951768944874742
17,17,0.5,euclidean,0.9945974946022034,0.9945716261863708,0.9947802156081055,0.9945716420310002
18,18,0.5,linear,0.9949231743812561,0.9949593544006348,0.9950717817786955,0.9949593818859288
19,19,0.5,manhattan,0.9939365386962891,0.9939380288124084,0.9941956381999493,0.9939380183656292
20,20,0.7,cosine,0.9948944449424744,0.9949309825897217,0.9951031298866765,0.9949310106770316
21,21,0.7,euclidean,0.9939461350440979,0.9939380288124084,0.9941956381999493,0.9939380183656292
22,22,0.7,linear,0.9944442510604858,0.9944203495979309,0.9946401856615926,0.9944203289168818
23,23,0.7,manhattan,0.9949519038200378,0.9949877262115479,0.9950985253221369,0.994987753094826
24,24,0.9,cosine,0.9939365386962891,0.9939285516738892,0.9941869486774465,0.9939285612959968
25,25,0.9,euclidean,0.9942622184753418,0.9943162798881531,0.9945440722557941,0.9943163011509254
26,26,0.9,linear,0.9934384226799011,0.9932760000228882,0.993556908161705,0.993276023491361
27,27,0.9,manhattan,0.9946932792663574,0.9945999979972839,0.9947789615277153,0.9946000132398974
